"order_timestamp","user_id","order_number","total_item_amount","total_shipping_fee","total_point_spent"
"2019-06-09 21:08:25.769",384,"96750128006512872",90680,0,0
"2019-06-09 23:03:28.03",5657,"13080098006512151",24400,2500,0
"2019-06-09 23:31:40.563",2932,"56500709006515250",14000,2500,0
"2019-06-09 23:53:00.808",9225,"01808919006513609",23660,2000,0
"2019-06-10 00:27:44.752",12398,"35746049006518306",34100,2500,0
"2019-06-10 02:23:58.515",2674,"71583010106513373",52300,5000,0
"2019-06-10 12:38:33.32",1205,"42331973106515462",23600,2500,0
"2019-06-10 13:21:46.403",2940,"50460504106517717",33200,2500,0
"2019-06-10 15:01:32.015",3412,"61029464106515730",14000,2500,0
"2019-06-10 16:28:06.267",12055,"86268615106510704",43100,2500,0
"2019-06-10 16:49:43.352",2424,"45338925106512874",15500,2500,4000
"2019-06-10 16:54:02.45",11450,"15424235106518549",27000,2500,4000
"2019-06-10 16:59:45.148",1941,"05158535106517764",2000,2500,4000
"2019-06-10 17:06:24.638",7772,"14648935106511143",1000,2500,3500
"2019-06-10 17:13:31.443",3720,"95411445106515084",19000,2500,3000
"2019-06-10 17:22:20.64",5371,"14604945106515760",32060,7000,4000
"2019-06-10 17:41:42.799",7693,"10820165106517785",16500,2500,4000
"2019-06-10 17:55:29.662",10715,"36692965106511886",3500,2500,4000
"2019-06-10 18:00:22.289",7418,"39222275106515151",25000,5000,0
"2019-06-10 18:34:10.634",1910,"63605295106513777",37900,5000,4000
"2019-06-10 18:47:17.698",4278,"70773006106512599",4000,2500,2000
"2019-06-10 18:47:19.727",1224,"82793006106513207",37800,5000,2000
"2019-06-10 19:02:17.27",4662,"17273906106513801",76000,0,2000
"2019-06-10 19:23:44.933",3412,"63942226106519202",14000,2500,1000
"2019-06-10 19:32:33.741",1918,"54735726106517016",60500,2500,2000
"2019-06-10 19:33:38.684",4088,"68681826106513161",23500,2500,4000
"2019-06-10 19:34:52.136",1178,"83129826106518385",13000,2500,4000
"2019-06-10 19:35:15.808",3305,"90851926106511420",1000,2500,3500
"2019-06-10 19:35:21.922",8662,"62912926106517949",19800,2500,4000
"2019-06-10 19:35:38.532",9202,"43583926106511285",5900,2500,2000
"2019-06-10 19:35:51.859",9880,"06815926106518300",46600,5000,1000
"2019-06-10 19:36:07.987",6303,"30086926106516539",6500,2500,4000
"2019-06-10 19:37:04.949",3305,"25942036106517235",1000,2500,500
"2019-06-10 19:37:22.116",3449,"02124036106519395",41200,2500,3000
"2019-06-10 19:38:12.879",8773,"18829036106511403",24000,2500,2000
"2019-06-10 19:38:38.294",6769,"59281136106513412",6500,2500,2000
"2019-06-10 19:39:36.241",12165,"44267136106516659",11900,2500,2000
"2019-06-10 19:39:39.12",76,"32197136106512690",21000,2500,2000
"2019-06-10 19:39:56.909",3849,"21969136106512313",35000,2500,4000
"2019-06-10 19:39:57.043",6955,"44079136106515109",14000,2500,4000
"2019-06-10 19:40:53.497",841,"00535236106514241",21000,2500,3000
"2019-06-10 19:41:01.181",9338,"28116236106510294",12500,2500,2000
"2019-06-10 19:41:18.081",10117,"28087236106513107",62400,2500,3000
"2019-06-10 19:42:43.192",5746,"59136336106519496",6500,2500,3000
"2019-06-10 19:42:46.013",3787,"41066336106510517",22800,2500,3000
"2019-06-10 19:43:43.548",2600,"94532436106515609",11000,2500,4000
"2019-06-10 19:45:30.944",5649,"54903536106514729",10900,2000,3000
"2019-06-10 19:45:40.577",117,"08504536106515836",6500,2500,4000
"2019-06-10 19:45:58.138",1617,"93185536106517158",15500,2500,3000
"2019-06-10 19:46:00.851",1318,"25806536106513472",62900,4500,2000
"2019-06-10 19:46:15.143",2227,"06157536106518611",17900,2500,1000
"2019-06-10 19:47:21.134",2560,"53114636106516493",22900,2500,4000
"2019-06-10 19:47:31.03",825,"53015636106512521",56600,2500,3000
"2019-06-10 19:48:03.813",6659,"61838636106514500",78700,0,4000
"2019-06-10 19:49:20.07",6341,"47006736106515775",1500,2500,4000
"2019-06-10 19:49:53.488",8995,"19439736106511282",17000,2500,3000
"2019-06-10 19:51:43.877",3227,"08830936106511969",3500,2500,4000
"2019-06-10 19:51:47.826",161,"03870936106516268",23400,2500,2000
"2019-06-10 19:51:52.232",10561,"53221936106517381",1200,2500,3700
"2019-06-10 19:52:03.319",10787,"02332936106513932",15400,2500,3000
"2019-06-10 19:52:22.438",9987,"14424936106515386",5900,2500,4000
"2019-06-10 19:53:33.169",7697,"17131046106517857",19800,2500,4000
"2019-06-10 19:55:07.031",3038,"33070146106513604",2500,2500,4000
"2019-06-10 19:55:25.988",3123,"29952146106514619",40500,2500,3000
"2019-06-10 19:57:37.486",1329,"98475246106517466",43700,5000,4000
"2019-06-10 19:59:29.816",6399,"71896346106511476",43300,2500,4000
"2019-06-10 20:02:31.091",11665,"99015546106513542",20000,2500,3000
"2019-06-10 20:03:43.268",3169,"96232646106516714",1000,2500,2000
"2019-06-10 20:05:02.693",4803,"49620746106515324",24300,2500,4000
"2019-06-10 20:07:44.356",1196,"75346846106519898",6500,2500,4000
"2019-06-10 20:08:08.669",815,"38688846106517812",49500,2500,4000
"2019-06-10 20:09:04.232",11970,"33244946106517166",1500,2500,4000
"2019-06-10 20:14:08.315",9726,"61384256106512938",1500,2500,4000
"2019-06-10 20:14:09.329",7396,"03394256106512459",8500,2500,4000
"2019-06-10 20:14:13.693",5620,"49635256106511885",11900,2500,3000
"2019-06-10 20:15:12.14",1297,"24121356106511872",68000,2500,4000
"2019-06-10 20:15:38.053",3363,"45083356106516512",27700,2000,1000
"2019-06-10 20:16:03.907",627,"80936356106510171",25000,2500,4000
"2019-06-10 20:17:53.968",2115,"96937456106519077",6560,2000,3000
"2019-06-10 20:19:13.693",547,"59635556106512952",35400,2500,4000
"2019-06-10 20:23:10.346",6135,"74309756106513352",80100,0,4000
"2019-06-10 20:24:01.224",3805,"62214856106516662",5500,2500,3000
"2019-06-10 20:24:21.293",9878,"49216856106515415",16900,2500,4000
"2019-06-10 20:24:34.447",9214,"84447856106512093",27000,2500,3000
"2019-06-10 20:25:01.934",5389,"53910956106513707",39570,5000,1000
"2019-06-10 20:26:06.487",11545,"88466956106512884",11900,2500,4000
"2019-06-10 20:26:52.636",1737,"63621066106514270",12900,2000,4000
"2019-06-10 20:28:31.204",2262,"50211166106515026",27000,2500,0
"2019-06-10 20:29:26.482",10410,"38466166106517925",29800,2500,4000
"2019-06-10 20:31:23.8",5463,"10838266106517466",26300,5000,2000
"2019-06-10 20:31:30.524",9840,"52509266106518759",11400,2500,4000
"2019-06-10 20:32:09.266",8573,"97292366106512147",31700,5000,2000
"2019-06-10 20:35:20.239",7848,"14202566106513224",16500,2500,1000
"2019-06-10 20:39:14.128",3562,"03145766106510497",18000,2500,3000
"2019-06-10 20:39:45.785",2388,"58758766106512658",6500,2500,4000
"2019-06-10 20:40:02.075",6931,"67020866106513745",6500,2500,2000
"2019-06-10 20:40:40.536",6256,"73504866106519446",29800,2500,4000
"2019-06-10 20:48:52.309",7817,"01323376106512028",28900,2500,4000
"2019-06-10 20:49:48.93",589,"13988376106516963",30900,2500,3000
"2019-06-10 20:50:28.149",3743,"05182476106519560",21760,2000,4000
"2019-06-10 20:51:31.433",9130,"43419476106519232",3900,2500,4000
